Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CategoryScActions.getDefaultProjectCategoryFilter(expectedProductNum),Chrome 97.0.4692.71,,,2022-01-15 11:08:28,2022-01-15 11:08:29,0.421s,PASSED
CategoryScActions.getDefaultValueOfSortBy(sortByDefault),Chrome 97.0.4692.71,,,2022-01-15 11:08:29,2022-01-15 11:08:29,0.393s,PASSED
CategoryScActions.getDefaultManufacturar(manufacturarDefault),Chrome 97.0.4692.71,,,2022-01-15 11:08:29,2022-01-15 11:08:29,0.429s,PASSED
CategoryScActions.getDefaultModal(defaultmodal),Chrome 97.0.4692.71,,,2022-01-15 11:08:29,2022-01-15 11:08:30,0.410s,PASSED
CategoryScActions.clickOnManuWithassertOPened(menuExpandValue),Chrome 97.0.4692.71,,,2022-01-15 11:08:30,2022-01-15 11:08:31,1.484s,PASSED
CategorySCHelpers.selectCasioManufacturar(),Chrome 97.0.4692.71,,,2022-01-15 11:08:31,2022-01-15 11:08:34,2.929s,PASSED
CategorySCHelpers.selectModalsp1000(),Chrome 97.0.4692.71,,,2022-01-15 11:08:34,2022-01-15 11:08:38,3.950s,PASSED
CategorySCHelpers.EnterCasioSP1000Product(),Chrome 97.0.4692.71,,,2022-01-15 11:08:38,2022-01-15 11:08:44,6.164s,PASSED
CategorySCHelpers.ValidateCasioSP1000ProductDetails(),Chrome 97.0.4692.71,,,2022-01-15 11:08:44,2022-01-15 11:08:46,1.389s,PASSED
CategorySCHelpers.enterTenItemsFromProduct(),Chrome 97.0.4692.71,,,2022-01-15 11:08:46,2022-01-15 11:08:51,5.077s,PASSED
CategorySCHelpers.checkMeniCartBadge(),Chrome 97.0.4692.71,,,2022-01-15 11:08:51,2022-01-15 11:08:51,0.650s,PASSED
CategorySCHelpers.navigateToCart(),Chrome 97.0.4692.71,,,2022-01-15 11:08:51,2022-01-15 11:08:55,3.930s,PASSED
"navigateToUrl(""https://www.cleanersupply.com/checkout/"")",Chrome 97.0.4692.71,,,2022-01-15 11:08:55,2022-01-15 11:08:57,1.683s,PASSED
maximizeWindow(),Chrome 97.0.4692.71,,,2022-01-15 11:08:57,2022-01-15 11:08:57,0.188s,PASSED
checkOutFormHelper.fillCheckOutForm(),Chrome 97.0.4692.71,,,2022-01-15 11:08:57,2022-01-15 11:09:38,40.971s,PASSED
